"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $2451.29359528061/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x08aea64b09e1bb3b49302e80325c00ec64da83b0272d8defa5a238f651aed672","14348032","1646767725","2022-03-08 19:28:45","0xb5571b983a7dccea362f1d7ba00868b7da7da9d5","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.00749519992041822","18.3729355602689","2579.18","","","Buy"
"0xa3c4aac063f31bbd608bf858b34d7fc40f4fb82a6a1fa54e6206c9e346d7c896","14348047","1646767910","2022-03-08 19:31:50","0xd1f0d9669e9cbb3e148aeb6d5635fbafa18cd841","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.007176478790608804","17.5916564960865","2579.18","","","Buy"
"0x9710eb8fd72e9a651476cc7a00274aa9a90ceeb4e59d1ee9d24c3a9d98e365b4","14348068","1646768153","2022-03-08 19:35:53","0xb2851739a6b1483670e604ed18a6151c996570da","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.006375516251075022","15.6282621528676","2579.18","","","Buy"
"0x71fbe79382820578252164e000bf2f20c62bd30720b659bd683102f7160543b3","14348077","1646768261","2022-03-08 19:37:41","0x4fd8b775ee4fa09d2b21477019e0251990b902d6","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.005673097790212182","13.9064282785477","2579.18","","","Buy"
"0xd36f2a633af542ba60ae8eeff0a7780e827f3973d13d11b9f210ba179520ff3f","14348079","1646768294","2022-03-08 19:38:14","0xd252a4871ba0d618d8adcf0d190232ad275bfaa7","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.00559716909884469","13.7203047637005","2579.18","","","Buy"
"0xdcfb2a6c95d29c8f1f941c8efd2c444ab0d87d396251fe81582c38de6c1d7fc2","14348084","1646768332","2022-03-08 19:38:52","0xc7e4802249630ae9df668aeb069c9098debbbf1d","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.00466917432617469","11.4455171210007","2579.18","","","Buy"
"0x371ccbb6e3faaca03e7591a0afd0e11d375672babbecdc2f54fa7cd904409cfa","14348094","1646768475","2022-03-08 19:41:15","0x39d5c20f53648ffdedfc065aea187a5d363e08ee","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.2","0","490.258719056122","0.004643928636495204","11.3836325235809","2579.18","","","Buy"
"0x31d6b72764d8004fd395feb49519d692af3f23820c11f4d50e5b4205c20fa4b6","14348094","1646768475","2022-03-08 19:41:15","0x39d5c20f53648ffdedfc065aea187a5d363e08ee","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.2","0","490.258719056122","0.004721104189254404","11.5728124617718","2579.18","","","Buy"
"0xc4b9237024d5482ad5650eba30bddeab895bc3758f0309c13473a5067ec86df7","14348109","1646768771","2022-03-08 19:46:11","0x52881c1f9a6a51feec429c89f135bc55a27d6d83","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.006082200982028142","14.909260312455","2579.18","","","Buy"
"0x1d418d0937f4d12609ed1c7736decadede6753d5abbe5ed38f537a43e80ad13c","14348157","1646769425","2022-03-08 19:57:05","0x2329e459506bc6c2b1f41b8c274fb934a01bb835","0xa040f0bc08f27db307926551de47c79ebeb1820b","","0.1","0","245.129359528061","0.00551870065237746","13.5279555634438","2579.18","","","Buy"
